file_path,authors,year,title,journal,url,license_url,license
papers\pdfs\tech\Calibration of Stochastic Computer Simulators Using Likelihood Emulation.pdf,"Jeremy E. Oakley, Benjamin D. Youngman",2017.0,Calibration of Stochastic Computer Simulators Using Likelihood Emulation,Technometrics,http://dx.doi.org/10.1080/00401706.2015.1125391,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Most Recent Changepoint Detection in Panel Data.pdf,"Lawrence Bardwell, Paul Fearnhead, Idris A. Eckley, Simon Smith, Martin Spott",2019.0,Most Recent Changepoint Detection in Panel Data,Technometrics,http://dx.doi.org/10.1080/00401706.2018.1438926,http://creativecommons.org/licenses/by/4.0,by
papers\pdfs\tech\Bayesian Design of Experiments Using Approximate Coordinate Exchange.pdf,"Antony M. Overstall, David C. Woods",2017.0,Bayesian Design of Experiments Using Approximate Coordinate Exchange,Technometrics,http://dx.doi.org/10.1080/00401706.2016.1251495,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Decision-Oriented Two-Parameter Fisher Information Sensitivity Using Symplectic Decomposition.pdf,Jiannan Yang,,Decision-Oriented Two-Parameter Fisher Information Sensitivity Using Symplectic Decomposition,Technometrics,http://dx.doi.org/10.1080/00401706.2023.2216251,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Bayesian Modeling and Inference for One-Shot Experiments.pdf,"Jonathan Rougier, Andrew Duncan",,Bayesian Modeling and Inference for One-Shot Experiments,Technometrics,http://dx.doi.org/10.1080/00401706.2023.2224524,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Robust Function-on-Function Regression.pdf,"Harjit Hullait, David S. Leslie, Nicos G. Pavlidis, Steve King",2021.0,Robust Function-on-Function Regression,Technometrics,http://dx.doi.org/10.1080/00401706.2020.1802350,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Model Mixing Using Bayesian Additive Regression Trees.pdf,"John C. Yannotty, Thomas J. Santner, Richard J. Furnstahl, Matthew T. Pratola",,Model Mixing Using Bayesian Additive Regression Trees,Technometrics,http://dx.doi.org/10.1080/00401706.2023.2257765,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Class Maps for Visualizing Classification Results.pdf,"Jakob Raymaekers, Peter J. Rousseeuw, Mia Hubert",2022.0,Class Maps for Visualizing Classification Results,Technometrics,http://dx.doi.org/10.1080/00401706.2021.1927849,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\tech\Detecting Changes in Covariance via Random Matrix Theory.pdf,"Sean Ryan, Rebecca Killick",2023.0,Detecting Changes in Covariance via Random Matrix Theory,Technometrics,http://dx.doi.org/10.1080/00401706.2023.2183261,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qe\Data-driven maintenance priority recommendations for civil aircraft engine fleets using reliability-based bivariate cluster analysis.pdf,"Hang Zhou, Ajith Kumar Parlikad, Alexandra Brintrup",2023.0,Data-driven maintenance priority recommendations for civil aircraft engine fleets using reliability-based bivariate cluster analysis,Quality Engineering,http://dx.doi.org/10.1080/08982112.2022.2163179,http://creativecommons.org/licenses/by/4.0/,by
papers\pdfs\qe\The revised Tennessee Eastman process simulator as testbed for SPC and DoE methods.pdf,"Francesca Capaci, Erik Vanhatalo, Murat Kulahci, Bjarne Bergquist",2019.0,The revised Tennessee Eastman process simulator as testbed for SPC and DoE methods,Quality Engineering,http://dx.doi.org/10.1080/08982112.2018.1461905,http://creativecommons.org/licenses/by/4.0/,by
